번호,사업자명,대표,업종,지역,유효기간 만료일,홈페이지
362,(주) 대정티씨,맹재홍,도소매업,서울 영등포구,2017-04-22,
363,주식회사 볼륨원,최재영,제조업,서울 강남구,2017-04-22,
364,유한회사태형,임달빈,도매및소매업,전남 목포시,2017-04-22,
365,(주)브이티더블유,조미리애,일반서비스업,서울 용산구,2017-04-22,
366,(주)아이티스,이승혁,도매및소매업,인천 부평구,2017-04-22,
367,(주)명인건설,최성호,건설업,경북 영천시,2017-04-22,
368,제일저지주식회사,"양대영,한병선,김현기",제조업,서울 성동구,2017-04-22,
369,(주)보광에스티,김기영,도매및소매업,서울 성동구,2017-04-22,
370,퍼펙트부영단조,김형백,제조업,부산 사상구,2017-04-22,
371,더부자원(주),이재권,도매및소매업,서울 서초구,2017-04-22,
372,한서공조(주),박영선,도매및소매업,서울 강남구,2017-04-22,
373,(주)에프에스에스앤엘,박경원,도매및소매업,서울 송파구,2017-04-22,
374,(주)씨앤에스에프에이,김성수,제조업,서울 동대문구,2017-04-22,
375,(주)디자인비아트,김진만,제조업,서울 구로구,2017-04-22,
376,거화스포츠(주),권진화,제조업,서울 성북구,2017-04-22,
377,(주)지에이치코어,김윤기,도매및소매업,서울 강동구,2017-04-22,
378,(주)이에스그룹,이승근,도매및소매업,서울 중구,2017-04-22,
379,중원엔지니어링(주),박정필,건설업,서울 광진구,2017-04-22,
380,(주)키친아트,배성국,도매및소매업,인천 서구,2017-04-22,
381,케이피로지텍(주),김주연,운수업,경기 용인시,2017-04-22,
382,제이케이마리타임(주),김지회,운수업,서울 서초구,2017-04-22,
383,(주)삼화피앤에프,홍택현,도소매업,경북 구미시,2017-04-22,
384,(주)동환시스템,김용희,제조업,경남 창원시,2017-04-23,
385,가온소프트(주),남창현,일반서비스업,경남 창원시,2017-04-23,
386,(주)재원비앤씨,노동식,제조업,경남 김해시,2017-04-23,
